user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned,price
1,Female,54,CA,Free,26,23,0.2,Desktop,31,0,1,10
2,Other,33,DE,Family,141,62,0.34,Web,0,1,0,10
3,Male,38,AU,Premium,199,38,0.04,Mobile,0,1,1,10
4,Female,22,CA,Student,36,2,0.31,Mobile,0,1,0,10
5,Other,29,US,Family,250,57,0.36,Mobile,0,1,1,10
6,Female,17,AU,Free,219,35,0.46,Desktop,13,0,0,10
7,Female,39,UK,Premium,289,44,0.38,Desktop,0,1,0,10
8,Female,41,UK,Free,210,68,0.11,Mobile,5,0,0,10
9,Other,55,DE,Student,50,66,0.29,Web,0,1,0,10
10,Male,44,DE,Free,278,94,0.38,Mobile,44,0,0,10
11,Other,33,DE,Free,86,44,0.11,Web,37,0,0,10
12,Other,24,CA,Free,113,24,0.56,Desktop,39,0,1,10
13,Female,37,IN,Family,24,86,0.11,Desktop,0,1,0,10
14,Female,53,US,Premium,45,47,0.6,Web,0,1,0,10
15,Other,37,IN,Family,114,13,0.44,Web,0,1,1,10
16,Male,25,FR,Student,230,25,0.26,Desktop,0,1,0,10
17,Female,36,DE,Student,181,93,0.23,Mobile,0,1,0,10
18,Male,58,US,Family,120,8,0.41,Desktop,0,1,0,10
19,Female,34,DE,Family,160,32,0.35,Mobile,0,1,0,10
20,Male,35,UK,Student,281,51,0.35,Desktop,0,1,0,10
21,Female,33,AU,Student,138,60,0.6,Web,0,1,0,10
22,Male,49,AU,Premium,20,7,0.45,Desktop,0,1,0,10
23,Female,45,PK,Family,138,95,0.1,Desktop,0,1,0,10
24,Male,44,CA,Family,134,97,0.42,Web,0,1,0,10
25,Other,32,CA,Premium,133,22,0.59,Desktop,0,1,0,10
26,Female,19,US,Student,39,29,0.53,Desktop,0,1,0,10
27,Male,28,IN,Free,293,67,0.33,Mobile,23,0,1,10
28,Other,58,FR,Free,15,55,0.3,Mobile,35,0,0,10
29,Male,33,FR,Free,123,13,0.22,Desktop,7,0,0,10
30,Female,22,FR,Premium,18,12,0.39,Mobile,0,1,0,10
31,Other,44,UK,Premium,149,45,0.22,Web,0,1,0,10
32,Male,53,US,Student,72,12,0.17,Web,0,1,0,10
33,Female,49,IN,Premium,291,74,0.11,Mobile,0,1,0,10
34,Male,49,US,Family,147,52,0.43,Web,0,1,0,10
35,Female,55,FR,Premium,18,2,0.04,Mobile,0,1,0,10
36,Other,24,DE,Free,59,53,0.18,Web,28,0,1,10
37,Male,22,DE,Student,280,99,0.29,Desktop,0,1,0,10
38,Female,50,US,Family,117,98,0.04,Mobile,0,1,0,10
39,Female,42,DE,Family,47,59,0.06,Desktop,0,1,0,10
40,Male,17,DE,Family,260,44,0.5,Desktop,0,1,1,10
41,Female,51,UK,Premium,122,16,0.54,Desktop,0,1,0,10
42,Female,46,US,Student,255,14,0.39,Desktop,0,1,0,10
43,Male,22,DE,Family,49,39,0.51,Mobile,0,1,0,10
44,Male,37,DE,Family,90,89,0.4,Mobile,0,1,0,10
45,Male,39,PK,Family,288,69,0.48,Web,0,1,0,10
46,Female,18,PK,Premium,255,3,0.39,Web,0,1,0,10
47,Female,56,CA,Student,255,75,0.58,Desktop,0,1,0,10
48,Male,58,US,Family,26,23,0.08,Mobile,0,1,0,10
49,Other,59,US,Family,238,60,0.29,Desktop,0,1,0,10
50,Male,50,PK,Free,241,7,0.56,Desktop,22,0,1,10
51,Female,45,CA,Premium,124,98,0.36,Desktop,0,1,0,10
52,Other,56,FR,Premium,175,67,0.38,Web,0,1,0,10
53,Female,38,AU,Free,41,3,0,Desktop,43,0,1,10
54,Male,57,DE,Free,222,96,0.26,Web,15,0,0,10
55,Female,46,UK,Family,121,71,0.32,Desktop,0,1,0,10
56,Female,41,IN,Family,277,2,0.59,Web,0,1,0,10
57,Other,19,IN,Free,107,82,0.11,Desktop,12,0,1,10
58,Male,48,FR,Student,198,63,0.23,Desktop,0,1,0,10
59,Other,22,DE,Free,59,51,0.42,Desktop,19,0,0,10
60,Other,17,IN,Student,95,79,0.53,Web,0,1,1,10
61,Female,25,UK,Premium,262,23,0.17,Web,0,1,0,10
62,Other,49,PK,Student,169,26,0.56,Mobile,0,1,0,10
63,Other,59,IN,Free,25,32,0.2,Mobile,38,0,0,10
64,Female,45,CA,Family,55,67,0.51,Mobile,0,1,1,10
65,Male,45,IN,Student,161,42,0.4,Desktop,0,1,1,10
66,Other,21,FR,Family,77,42,0.56,Web,0,1,0,10
67,Male,45,DE,Free,152,32,0.49,Mobile,14,0,1,10
68,Female,45,UK,Free,156,51,0.14,Desktop,18,0,0,10
69,Other,22,AU,Student,99,43,0.17,Desktop,0,1,0,10
70,Female,56,US,Free,181,40,0.21,Mobile,10,0,0,10
71,Other,51,AU,Student,265,81,0.36,Web,0,1,0,10
72,Female,22,AU,Family,131,70,0.35,Web,0,1,0,10
73,Other,33,CA,Student,19,68,0.32,Desktop,0,1,1,10
74,Other,59,AU,Family,201,15,0.05,Mobile,0,1,0,10
75,Male,41,DE,Family,223,53,0.33,Web,0,1,0,10
76,Male,25,UK,Premium,111,83,0.19,Desktop,0,1,0,10
77,Male,41,FR,Family,81,6,0.47,Mobile,0,1,0,10
78,Other,30,FR,Family,124,73,0.43,Mobile,0,1,0,10
79,Male,23,US,Free,13,30,0.24,Mobile,32,0,0,10
80,Female,47,PK,Premium,31,72,0.53,Desktop,0,1,1,10
81,Male,34,AU,Premium,277,87,0.3,Web,0,1,0,10
82,Other,45,FR,Student,181,69,0.59,Web,0,1,0,10
83,Other,32,PK,Free,167,4,0.56,Mobile,35,0,0,10
84,Other,51,CA,Free,105,11,0.03,Web,29,0,0,10
85,Other,21,FR,Student,202,79,0.45,Desktop,0,1,0,10
86,Female,20,IN,Family,284,38,0.23,Web,0,1,0,10
87,Male,21,US,Premium,125,82,0.43,Web,0,1,0,10
88,Female,44,UK,Free,237,36,0.37,Web,20,0,0,10
89,Other,50,PK,Family,99,15,0.15,Mobile,0,1,0,10
90,Other,52,DE,Student,224,49,0.38,Desktop,0,1,0,10
91,Male,43,UK,Free,195,80,0.17,Web,28,0,0,10
92,Female,41,PK,Premium,173,85,0.22,Web,0,1,0,10
93,Female,57,IN,Family,210,7,0.25,Web,0,1,0,10
94,Other,50,UK,Free,85,7,0.45,Desktop,44,0,0,10
95,Female,35,FR,Family,93,1,0.4,Mobile,0,1,0,10
96,Other,51,IN,Student,222,97,0.03,Desktop,0,1,1,10
97,Male,34,CA,Premium,196,69,0.07,Web,0,1,0,10
98,Female,47,US,Family,215,13,0.02,Mobile,0,1,1,10
99,Male,19,PK,Family,22,45,0.29,Web,0,1,1,10
100,Female,30,UK,Student,283,13,0.02,Desktop,0,1,0,10
101,Female,27,FR,Free,40,15,0.5,Web,16,0,0,10
102,Male,25,DE,Student,251,91,0.12,Desktop,0,1,0,10
103,Female,47,AU,Family,240,61,0.56,Mobile,0,1,0,10
104,Male,33,US,Family,160,76,0.06,Web,0,1,0,10
105,Male,46,CA,Free,114,11,0.24,Web,19,0,0,10
106,Other,50,AU,Student,251,9,0.39,Web,0,1,0,10
107,Male,31,FR,Student,181,89,0.11,Desktop,0,1,1,10
108,Female,45,FR,Premium,215,16,0.26,Web,0,1,0,10
109,Male,51,FR,Student,119,11,0.05,Desktop,0,1,0,10
110,Other,33,CA,Premium,224,34,0.11,Mobile,0,1,0,10
111,Male,42,DE,Premium,31,61,0.29,Mobile,0,1,0,10
112,Male,16,CA,Family,17,10,0.27,Desktop,0,1,0,10
113,Other,31,FR,Student,174,29,0.13,Desktop,0,1,1,10
114,Male,40,AU,Family,31,48,0.33,Web,0,1,0,10
115,Male,57,FR,Student,84,40,0.58,Desktop,0,1,0,10
116,Female,17,CA,Free,198,31,0.07,Web,6,0,0,10
117,Male,31,CA,Student,272,40,0.12,Desktop,0,1,1,10
118,Other,45,UK,Family,21,73,0.16,Web,0,1,0,10
119,Male,59,PK,Family,251,47,0.14,Mobile,0,1,0,10
120,Other,49,PK,Family,95,81,0.36,Mobile,0,1,0,10
121,Male,59,IN,Student,169,20,0.18,Desktop,0,1,1,10
122,Male,47,DE,Premium,35,20,0.32,Desktop,0,1,1,10
123,Male,21,US,Free,32,34,0.52,Web,14,0,1,10
124,Female,28,DE,Free,55,67,0.53,Desktop,7,0,0,10
125,Female,47,US,Family,120,26,0.48,Desktop,0,1,0,10
126,Female,46,IN,Free,11,67,0.4,Desktop,36,0,1,10
127,Female,20,US,Premium,194,52,0.2,Mobile,0,1,0,10
128,Female,34,PK,Premium,81,85,0.29,Web,0,1,0,10
129,Other,24,DE,Free,217,52,0.45,Web,23,0,0,10
130,Male,40,US,Premium,11,11,0.42,Web,0,1,1,10
131,Male,48,UK,Free,72,35,0.53,Desktop,22,0,0,10
132,Other,47,PK,Premium,162,94,0.29,Desktop,0,1,0,10
133,Female,33,IN,Family,271,57,0.36,Mobile,0,1,1,10
134,Male,20,US,Premium,218,6,0.02,Desktop,0,1,1,10
135,Other,55,DE,Family,94,24,0.3,Web,0,1,0,10
136,Male,58,CA,Student,295,72,0.43,Desktop,0,1,0,10
137,Other,41,US,Premium,286,35,0.42,Desktop,0,1,0,10
138,Other,53,US,Student,298,37,0.5,Mobile,0,1,0,10
139,Female,50,CA,Family,261,20,0.39,Desktop,0,1,1,10
140,Other,55,US,Free,201,82,0.5,Desktop,27,0,1,10
141,Female,56,US,Free,40,84,0.56,Web,49,0,0,10
142,Other,18,AU,Premium,30,78,0.42,Mobile,0,1,0,10
143,Male,29,CA,Student,109,88,0.45,Web,0,1,1,10
144,Female,28,UK,Premium,171,19,0.48,Mobile,0,1,1,10
145,Male,24,PK,Family,223,31,0.09,Mobile,0,1,0,10
146,Other,44,AU,Family,52,17,0.2,Desktop,0,1,0,10
147,Other,18,IN,Family,195,94,0.49,Desktop,0,1,0,10
148,Other,40,PK,Premium,198,78,0,Desktop,0,1,0,10
149,Other,22,DE,Student,285,2,0.3,Desktop,0,1,0,10
150,Male,34,FR,Premium,278,83,0.24,Desktop,0,1,0,10
151,Male,44,AU,Premium,251,57,0.37,Desktop,0,1,0,10
152,Male,58,US,Student,158,52,0.27,Mobile,0,1,0,10
153,Female,41,PK,Family,14,41,0.59,Web,0,1,0,10
154,Female,52,UK,Premium,280,81,0.27,Desktop,0,1,1,10
155,Male,26,IN,Student,257,14,0.13,Web,0,1,0,10
156,Other,42,CA,Family,21,76,0.56,Web,0,1,1,10
157,Other,27,PK,Free,237,27,0.16,Web,40,0,0,10
158,Other,48,DE,Free,224,53,0.07,Mobile,43,0,0,10
159,Other,24,AU,Family,216,76,0.28,Mobile,0,1,0,10
160,Other,34,CA,Premium,137,97,0.32,Web,0,1,0,10
161,Other,28,DE,Free,209,84,0.53,Web,28,0,0,10
162,Female,17,FR,Free,36,30,0.19,Mobile,43,0,1,10
163,Other,50,PK,Free,95,50,0.49,Desktop,31,0,1,10
164,Female,35,AU,Premium,298,25,0.11,Mobile,0,1,1,10
165,Male,20,DE,Family,224,51,0.23,Desktop,0,1,1,10
166,Female,50,PK,Free,205,43,0.48,Desktop,47,0,0,10
167,Male,23,FR,Student,95,31,0.37,Web,0,1,0,10
168,Other,20,UK,Free,289,17,0.28,Desktop,35,0,0,10
169,Male,51,CA,Premium,168,28,0.54,Web,0,1,0,10
170,Female,18,PK,Free,211,48,0.48,Mobile,23,0,1,10
171,Male,29,DE,Premium,63,99,0.38,Mobile,0,1,0,10
172,Male,39,DE,Free,124,83,0.52,Mobile,35,0,0,10
173,Other,51,CA,Family,275,56,0.05,Web,0,1,0,10
174,Male,24,PK,Student,120,38,0.11,Mobile,0,1,0,10
